grid search results

Top 1 | Acc: 0.8862 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 2 | Acc: 0.8862 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 3 | Acc: 0.8850 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 4 | Acc: 0.8829 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 5 | Acc: 0.8824 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 6 | Acc: 0.8820 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 7 | Acc: 0.8818 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 8 | Acc: 0.8816 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 9 | Acc: 0.8811 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 10 | Acc: 0.8810 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 11 | Acc: 0.8809 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 12 | Acc: 0.8808 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 13 | Acc: 0.8808 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 14 | Acc: 0.8804 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 15 | Acc: 0.8803 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 16 | Acc: 0.8800 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 17 | Acc: 0.8797 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 18 | Acc: 0.8796 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 19 | Acc: 0.8795 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 20 | Acc: 0.8793 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 21 | Acc: 0.8792 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
